,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4245,Al,Horford,PF,BOS,IND,BOS@IND,7:00PM EDT,21,22.6, , ,2024-10-30,4245,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,4245,P,9.5,4.5,2.0,1.0,0.8,0.5,22.8,23.5,33.5,5.5,23.34,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.39602317293079786
1,nba.p.4622,Jrue,Holiday,PG,BOS,IND,BOS@IND,7:00PM EDT,26,21.7, , ,2024-10-30,4622,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,4622,P,13.3,3.3,3.0,0.3,0.3,1.5,22.06,29.3,16.6,8.9,21.68,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.2971152695470531
2,nba.p.5464,Kristaps,Porzingis,C,BOS,IND,BOS@IND,7:00PM EDT,34,36.8,INJ, ,2024-10-30,5464,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,5464,P,,,,,,,0.0,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
3,nba.p.5602,Jaylen,Brown,SF,BOS,IND,BOS@IND,7:00PM EDT,37,42.4, , ,2024-10-30,5602,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,5602,P,26.0,7.8,3.3,1.5,0.0,2.3,42.51,39.2,44.5,51.1,42.73,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.4115003517520008
4,nba.p.5765,Jayson,Tatum,PF,BOS,IND,BOS@IND,7:00PM EDT,51,50.1, , ,2024-10-30,5765,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,5765,P,28.5,6.8,5.5,1.5,0.8,1.5,50.31,36.6,52.8,49.2,46.50000000000001,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.3248791340011461
5,nba.p.5842,Derrick,White,SG,BOS,IND,BOS@IND,7:00PM EDT,30,34.9, , ,2024-10-30,5842,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,5842,P,18.3,4.0,4.8,0.8,1.0,0.5,35.2,34.6,36.7,31.799999999999997,34.86,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.41404273632636374
6,nba.p.5903,Luke,Kornet,C,BOS,IND,BOS@IND,7:00PM EDT,10,11.1, , ,2024-10-30,5903,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,5903,P,2.0,3.0,1.5,0.5,0.8,0.5,11.25,5.7,13.3,10.3,9.84,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.35061794539168845
7,nba.p.6418,Payton,Pritchard,PG,BOS,IND,BOS@IND,7:00PM EDT,17,24.7, , ,2024-10-30,6418,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,6418,P,16.3,3.0,2.3,0.8,0.0,0.8,24.95,42.5,24.4,19.2,29.43,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,0.6168511557195954
8,nba.p.6427,Xavier,Tillman Sr.,C,BOS,IND,BOS@IND,7:00PM EDT,15,9.7, , ,2024-10-30,6427,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,6427,P,3.3,3.5,1.0,0.5,0.0,0.8,9.7,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
9,nba.p.6570,Jaden,Springer,PG,BOS,IND,BOS@IND,7:00PM EDT,10,2.6, , ,2024-10-30,6570,0,127.15,111.65,110.19,117.14,1.0,19.0,28.0,3.0,3.0,23.0,4.0,26.0,4.0,25.0,27.0,28.0,7.0,29.0,1.0,18.0,11.0,22.0,23.0,26.0,27.0,6.0,1.0,22.0,18.0,13.0,15.0,18.0,20.0,22.0,10.0,27.0,4.0,29.0,,,11.0,30.0,6570,P,0.5,1.5,0.5,0.0,0.0,0.5,2.55,,,,,0.95,1.0,1.2715,0.245,1.4,3.0555555555555554,0.7142857142857143,0.32727272727272727,0.8023809523809525,0.3676363636363637,
